"class" "test" "dei_paschi" "mont_dei" "danish" "dei" "dutch" "nordlb" "rescu" "brexit" "denmark" "fine" "deposit" "nordea" "estonia" "incom" "swedish" "foreign" "tax" "prosecutor" "suspici" "combin" "ing" "offer" "control" "mont" "show" "paschi" "industri" "member" "save" "inform" "branch" "restructur" "baltic" "ratio" "analyst" "banca" "pai" "commiss" "target" "sector" "term" "privat" "economi" "region" "tuesdai" "econom" "larg" "mondai" "start" "person" "fridai" "custom" "involv" "face" "estonian" "servic" "system" "stake" "recent" "continu" "fail" "offici" "minist" "result" "account" "net" "discuss" "sell" "declin_comment" "intern" "decis" "nation" "supervisori" "debt" "top" "unicredit" "familiar" "crisi" "rais" "set" "increas" "requir" "work" "credit" "sale" "wednesdai" "global" "thursdai" "quarter" "ag" "europ" "loss" "move" "issu" "ceo" "ad" "statement" "bad" "job" "close" "sew" "hold" "interest" "revenu" "head" "chief_execut" "meet" "client" "back" "reuter" "week" "dansk_bank" "firm" "transact" "largest" "alleg" "base" "potenti" "offic" "union" "call" "biggest" "scandal" "rule" "equiti" "sharehold" "sourc" "invest_bank" "group" "rate" "part" "told" "declin" "talk" "case" "matter" "bond" "oper" "board" "end" "million_euro" "germani" "month" "compani" "unit" "expect" "make" "profit" "chief" "cut" "time" "financ" "comment" "itali" "central_bank" "includ" "italian" "regul" "investig" "swedbank" "cost" "ecb" "carig" "trade" "author" "countri" "central" "german" "risk" "state" "peopl" "asset" "share" "execut" "investor" "merger" "fund" "invest" "deal" "manag" "commerzbank" "eu" "loan" "dansk" "govern" "monei_launder" "busi" "billion_euro" "million" "plan" "market" "launder" "report" "capit" "percent" "monei" "european" "financi" "lender" "billion" "deutsch_bank" "year" "euro" "deutsch" "bank"
0 0 0 0 0 0 0 0 0 0 2.75312022934585 0 0 0 5.34813347856382 0 0 0 0 5.61723326959072 0 0 0 0 0 0 0 0 0 2.20495424331957 0 2.22445973794382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.02710030378533 0 0 0 2.07160860345865 0 0 0 0 0 2.42513043340597 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.82507367591204 0 0 1.98687550247482 1.72736430698973 4.10968966483796 0 0 0 0 1.66138672962454 0 1.72552268584308 0 0 0 0 0 0 0 0 0 0 0 0 1.52376535174849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.741378726102 0 0 0 0 0 0 0 0 0 0 0 1.56364793802681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.02212095620858 0 0 0 0 0 0 0 0 0 2.1880712432814 0 0 0 0 0 0 0 0 0 0 0.266579584382976
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.53878742084616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.07160860345865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.29833463702808 0 4.10203171036377 0 0 0 0 0 0 0 0 0 0 0 0 1.90105958288996 0 0 0 2.05356687697349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.03473145659741 0 0 0 0 0 0 0 5.96062650742445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9413334820279 0 0 0 6.76109105705863 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.68938505892452 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.41555176710826 0 1.45057079340784 0 0 0 3.14616394052034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91898894437162 0 0 0.856128787425629 0 0
0 0 0 0 2.8530683973662 0 0 0 0 0 5.50624045869169 0 0 0 5.34813347856382 0 0 0 0 2.80861663479536 0 0 0 0 0 0 0 0 0 0 0 0 2.31810463842909 0 2.57466216737694 0 0 0 0 0 0 0 0 0 0 0 6.08130091135598 0 0 0 2.07160860345865 0 0 0 0 1.94591014905531 14.5507826004358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.95050785830394 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.96911304613498 0 1.9988948779406 1.905455194363 0 1.70548558561393 0 0 0 0 0 0 0 0 0 0 0 0 1.74222066193925 0 0 10.2742241620949 0 1.92998262235921 0 4.1852686903288 0 0 1.72552268584308 0 0 1.61173412469445 6.17606558128063 1.88366784017809 0 0 0 0 1.69027276426466 0 0 0 0 0 9.54382314632183 0 0 0 0 0 0 0 0 0 3.37877011784903 0 0 1.69294061822585 0 0 0 0 2.741378726102 0 0 0 0 0 9.19701750733432 0 0 0 0 0 3.12729587605363 2.81363617427901 0 0 0 0 0 0 0 0 1.43325134420766 0 0 0 0 1.32775347534586 0 0 0 18.0995443029386 0 3.27840303879012 0 0 2.96504478642889 0 0 6.42401379994186 0 1.0940356216407 0 5.1820881774756 0 0 0 1.94599262958108 0 0.77256208185018 0 0 0.710878891687935
0 3.17543602780587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.27353275573741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.53878742084616 0 0 0 0 6.74234776850556 0 4.20126877566295 4.12251844519329 2.18874165534174 0 0 0 4.04675180938869 0 0 0 0 0 2.01843151884888 1.94591014905531 0 0 0 0 0 0 0 0 0 1.92885459065471 0 0 0 0 0 3.90101571660789 0 0 4.03686303769776 0 0 0 0 0 1.96559810402753 0 0 5.88279195294011 0 2.15708433547105 0 0 0 0 0 0 0 1.91987585468944 0 0 0 0 0 2.03584489417408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.72552268584308 0 0 1.65880163555244 0 0 1.88366784017809 1.9413334820279 0 0 0 0 0 1.50958071675654 0 0 0 0 0 0 0 1.77454286726482 1.49778986534523 0 0 0 0 0 0 0 1.69294061822585 0 0 0 0 0 0 0 0 0 0 0 0 1.59706393494666 1.96209547347633 0 0 0 0 0 0 1.40347918587399 2.982436200364 0 4.46058238443913 0 0 1.43325134420766 0 2.83110353421652 0 0 2.65550695069171 0 1.85603590151601 3.14616394052034 0 1.35659559997514 0 0 0 0 0 1.15142429106536 0 0.988283793123251 7.65824935148489 3.91724309214197 0 0 0 0 0.972996314790539 0 0 0 0 0.977458476070911
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17855974919662 0 0 2.24744925616852 0 0 0 0 0 2.02710030378533 0 2.02337590469434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9988948779406 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.06771502293952 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.67441340102455 0 0 0 0 0 0 0 0 0 1.70638770565706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.177719722921984
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.26939371042308 0 0 2.25679511858676 0 6.74234776850556 2.1727877273995 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.23665501103764 0 0 0 0 0 5.78656377196414 0 0 0 2.05101585518188 0 0 0 0 0 0 5.56182497973868 0 0 0 1.96559810402753 1.87188409375603 0 0 0 0 2.05356687697349 1.82202953353081 0 0 0 0 0 0 0 0 1.94361919730876 3.41097117122785 0 0 0 0 0 0 1.86023758836971 2.17855974919662 0 1.58021636437405 0 0 1.74222066193925 0 0 0 0 0 0 0 0 1.72552268584308 0 0 1.65880163555244 0 0 0 0 1.86234507070927 0 2.10063438783148 0 0 1.50958071675654 1.52376535174849 0 0 0 0 0 3.24825171397923 0 0 0 0 0 1.67441340102455 0 1.49267476467846 0 3.3858812364517 1.37392038363245 0 1.52076234648872 0 0 1.70638770565706 0 1.45969686587222 1.73662363240253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.97372158962609 4.20244820536352 1.27772798056843 0 0 0 1.49413355414212 0 3.98326042603757 0 0 0 0 0 0 1.3166900558016 5.17491328765949 0 1.21782983898736 1.15142429106536 0 0.988283793123251 2.1880712432814 9.14023388166459 0 0 0 0 4.8649815739527 0 5.40793457295126 4.28064393712814 0 0.622019030226943
0 0 0 0 0 0 0 0 0 2.9898518253771 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.92885459065471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.15708433547105 0 3.64405906706162 0 0 0 0 0 0 0 0 0 0 1.70638770565706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.02702291944686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.62412585698961 0 0 0 0 0 0 0 0 0 0 0 0 1.52076234648872 0 0 0 2.88305450702304 0 0 0 0 0 0 0 0 0 0 0 2.70050884927339 0 0 0 0 0 0 0 0 0 0 2.98826710828424 1.45057079340784 0 0 0 0 0 0 0 0 0 0 0 0 0 0.988283793123251 0 0 0 0 0 0 0 0 0 0 0 0.177719722921984
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.82235597059978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.43256541189349 0 0 0 0 2.26939371042308 2.22901555447968 0 0 0 2.24744925616852 0 0 0 0 2.22143401702728 0 0 0 0 0 0 0 0 0 0 0 0 0 2.23665501103764 0 2.00861548911122 1.93111192795636 0 0 1.92885459065471 0 2.29833463702808 0 0 0 0 0 0 0 0 0 0 0 0 0 1.87188409375603 0 0 0 0 0 1.82202953353081 2.03208784529637 0 6.11884833515147 0 0 0 0 0 1.94361919730876 0 1.70638770565706 0 0 0 0 0 1.86023758836971 10.8927987459831 0 1.58021636437405 0 0 0 0 0 0 0 0 0 0 1.66138672962454 0 1.72552268584308 0 0 0 0 0 1.9413334820279 0 0 0 1.69027276426466 1.95397006603241 0 0 1.52904240884934 1.87615304367561 0 0 0 1.62412585698961 0 1.49778986534523 3.61189757000471 0 0 0 1.68938505892452 0 0 3.3858812364517 1.37392038363245 1.77938549174061 1.52076234648872 0 0 0 0 1.45969686587222 1.73662363240253 0 0 0 6.38825573978663 0 0 0 0 0 0 0 0 1.491218100182 0 4.46058238443913 0 1.27772798056843 0 0 0 0 0 3.98326042603757 0 0 0 0 0 0 1.3166900558016 3.88118496574462 2.96504478642889 2.43565967797472 1.15142429106536 0 0.988283793123251 2.1880712432814 5.22299078952263 0 0 2.75576083240352 0 2.91898894437162 0 3.09024832740072 4.28064393712814 0 0.44429930730496
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.82235597059978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.29833463702808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.82202953353081 0 0 0 0 0 0 0 0 0 0 1.70638770565706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.71091055371079 0 0 0 0 0 0 0 0 0 0 0 0 0 1.69027276426466 0 0 0 0 0 0 0 0 1.62412585698961 0 0 1.80594878500236 0 0 3.3488268020491 0 5.97069905871385 0 5.07882185467755 0 0 0 0 0 0 0 0 0 0 0 0 1.59706393494666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.98826710828424 0 0 0 0 0 0 0 0 0 1.29372832191487 1.48252239321444 0 0 0 0.988283793123251 0 2.61149539476131 0 0 0.918586944134505 0.740791212798755 0.972996314790539 0 3.09024832740072 1.71225757485126 0 0.0888598614609919
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22294573311261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.02337590469434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.10203171036377 1.80894429398216 0 0 0 0 0 0 0 1.95976718371674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.70548558561393 0 0 0 1.83631549077829 0 0 0 0 0 0 1.82507367591204 0 0 0 1.72736430698973 0 0 0 1.71091055371079 0 0 0 0 0 0 0 0 0 0 0 6.20314506881855 0 0 0 0 0 1.52904240884934 1.87615304367561 0 0 0 0 0 1.49778986534523 0 0 1.43669132008011 0 5.06815517677355 1.49267476467846 0 0 0 0 0 0 1.370689363051 0 2.88305450702304 0 0 0 0 0 0 0 0 0 0 0 2.70050884927339 0 0 0 0 1.48686079481304 0 0 0 0 0 0 4.35171238022353 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.94599262958108 0 0 0 0 0.533159168765952
